governate,area,lat,lng,services
Al-Fayoum,Atsa,29.24124675,30.67229435,3.0
Al-Fayoum,Atsa,29.24143653,30.79518521,3.0
Al-Fayoum,Atsa,29.237697,30.795299,3.0
Al-Fayoum,Senouris,29.40857519,30.86507307,3.0
Al-Fayoum,Senouris,29.4087034,30.8587204,3.0
Al-Fayoum,Senouris,29.41719986,30.81736238,3.0
Al-Fayoum,Senouris,29.38125621,30.77755288,3.0
Al-Fayoum,Senouris,29.39694049,30.82468411,3.0
Al-Fayoum,Senouris,29.40740388,30.77005311,3.0
Al-Fayoum,Senouris,29.41540081,30.86429428,3.0
Al-Gharbia,AL Mahala El Kobra,30.96840535,31.16653175,1.0
Al-Gharbia,AL Mahala El Kobra,30.96841261,31.16653632,1.0
Al-Gharbia,AL Mahala El Kobra,30.9847804,31.16051063,1.0
Al-Gharbia,AL Mahala El Kobra,31.09226754,31.14370783,1.0
Al-Gharbia,AL Mahala El Kobra,30.97440999,31.1700527,1.0
Al-Gharbia,AL Mahala El Kobra,30.95876951,31.16819124,1.0
Al-Gharbia,AL Mahala El Kobra,30.96861421,31.16753985,3.0
Al-Gharbia,AL Mahala El Kobra,30.97382083,31.16779823,1.0
Al-Gharbia,AL Mahala El Kobra,30.95132688,31.15007172,1.0
Al-Gharbia,AL Mahala El Kobra,30.9765346,31.17537475,1.0
Al-Gharbia,AL Mahala El Kobra,30.97074846,31.16754805,1.0
Al-Gharbia,AL Mahala El Kobra,30.9743416,31.1687728,1.0
Al-Gharbia,AL Mahala El Kobra,30.96638119,31.16466574,3.0
Al-Gharbia,AL Mahala El Kobra,30.98164511,31.17105489,3.0
Al-Gharbia,AL Mahala El Kobra,30.99968171,31.16443431,3.0
Al-Gharbia,AL Mahala El Kobra,31.02731056,31.17532168,3.0
Al-Gharbia,AL Mahala El Kobra,30.980613,31.173253,3.0
Al-Gharbia,AL Mahala El Kobra,31.09226754,31.14370783,1.0
Al-Gharbia,AL Mahala El Kobra,30.97382083,31.16779823,1.0
Al-Gharbia,AL Mahala El Kobra,30.9847804,31.16051063,1.0
Al-Gharbia,AL Mahala El Kobra,30.95132688,31.15007172,1.0
Al-Gharbia,AL Mahala El Kobra,30.9765346,31.17537475,1.0
Al-Gharbia,AL Mahala El Kobra,30.95876951,31.16819124,1.0
Al-Gharbia,AL Mahala El Kobra,30.97440999,31.1700527,1.0
Al-Gharbia,Basyoun,30.93906548,30.81398976,3.0
Al-Gharbia,Basyoun,30.94059389,30.82137233,1.0
Al-Gharbia,Basyoun,30.94038549,30.82041547,1.0
Al-Gharbia,Basyoun,30.939667,30.805887,3.0
Al-Gharbia,Basyoun,30.94038549,30.82041547,1.0
