id,name,address,governate,area,lat,lng,services
96169798-2254-41ff-b732-5d2f4b07a970,Al Quseyya,Algalaa St. Qusiya Assiut,Assiut,Al Quseyya,27.439535322,30.827328102,Withdrawal -Deposit - Forex
1fb24a74-fd54-4acb-add6-bc045d3fab6a,Al Quseyya,Alqosia Secondary School for Boys St. Qosia  Assiut,Assiut,Al Quseyya,27.438144482,30.816689443,Withdrawal
b908b622-f5c6-4b18-b414-1949d56d63bb,Al Quseyya,AlGalaa St. in front of AlMawaleh Towers,Assiut,Al Quseyya,27.437811464,30.827660796,Withdrawal
f738c26b-9f7b-4e53-a884-c0c7f9dc6782,Al Quseyya,AlGalaa St. AlQuseya Assiut,Assiut,Al Quseyya,27.439217995,30.81883979,Withdrawal
afb16bcf-17ae-4312-9e2d-2b5013643bb0,Al Quseyya,AlGalaa St. AlQusiya,Assiut,Al Quseyya,27.4396814840001,30.822324628,Withdrawal
329843e3-53c8-40d3-8cbf-5ebc7d7c00f1,Al Quseyya,AlGalaa St. AlQusiya,Assiut,Al Quseyya,27.4397753380001,30.8223026580001,Withdrawal
2efc3741-ccca-42ef-b198-4939e845a1c9,Al Quseyya,The Primary Health Care Center in AlQusiya - Assiut Maternal and Childhood Sq.,Assiut,Al Quseyya,27.441444473,30.8202047870001,Withdrawal
2e64d03e-35e6-41f8-b123-4af2303969fa,Misr Exchange Alqousia,Fatima Alzaharaa Tower \ Algalaa St. \ Alqousia,Assiut,Al Quseyya,27.43968721,30.82506395,withdraw only
dc1b4202-b476-450a-8d62-031d6f3f6138,Assiut,Assiut,Assiut,Assiut,27.1840009260001,31.195808716,Withdrawal
5f8b9298-9fd2-4673-ac34-a7a4f6997e56,Assiut,Directorate of Health and Population in Assiut  AlAzhar St. Assiut,Assiut,Assiut,27.1954882700001,31.176792306,Withdrawal
ad389683-3630-4dca-ba38-a845de68a9c5,Assiut,23 July St. Assiut Governorate,Assiut,Assiut,27.1791863070001,31.1820595880001,Withdrawal
b0a65236-5429-434b-bb02-919932f762bd,Assiut,AlMohafza St. Assiut,Assiut,Assiut,27.18712744,31.1892492060001,Withdrawal
e4640cb3-45ed-4747-8c22-d09a8e859245,Assiut,Assiut University,Assiut,Assiut,27.185261005,31.171275258,Withdrawal
6b0110cf-b50e-49cb-8871-d4fc25e16124,Assiut,Yousry ragheb St. Accounts Management Universities Towns,Assiut,Assiut,27.1838221030001,31.168863049,Withdrawal
5754c9f9-c022-497d-9ad4-15376856132d,Assiut,Assiut University - beside mall from the left side of the university city,Assiut,Assiut,27.183749221,31.168807843,Withdrawal
c8921d71-3802-4532-ab21-2bcda3ba1aa8,Assiut,AlGomhoria St.beside Housing and Development Bank,Assiut,Assiut,27.1920795360001,31.186161683,Withdrawal
4d2f0463-96b9-441a-83f9-2e69d76b80b7,Assiut,Assiut University in front of General Administration of the University,Assiut,Assiut,27.189296535,31.1759514070001,Withdrawal
5519988a-2284-41cc-a69a-fac534326eb8,Assiut,Saad Zaghloul St. Assiut,Assiut,Assiut,27.1782772170001,31.1861611840001,Withdrawal
21d7fec0-56a1-453d-8141-efa9251c5433,Assiut,Extension of Yousry Ragheb St. - Assiut City - Assiut Governorate,Assiut,Assiut,27.1869022330001,31.1797997800001,Withdrawal -Deposit – Forex
d4a1ea9e-a1e3-4ed8-9505-c40f0a48af85,Assiut,Assiut University - Gate of Cornich St. in front of teriet AlIbrahemiah,Assiut,Assiut,27.187448503,31.1741833570001,Withdrawal
7c613f03-25c5-457d-8044-c2633fd81281,Assiut,Assiut University - Library St.,Assiut,Assiut,27.188673685,31.166476674,Withdrawal
be90d3fe-dc58-4106-be0c-cab157c3a7a1,Assiut,Assiut University,Assiut,Assiut,27.184339655,31.168357568,Withdrawal -Deposit – Forex
4b564a5a-462f-4d91-8fea-84d3be805e8b,Assiut,Asmaa Allah Alhusnaa Sq. Assiut,Assiut,Assiut,27.197916364,31.1738503880001,Withdrawal
2573d855-77f9-4ac4-a6c5-0e8eb5886d45,Assiut,Helali St. - Assiut,Assiut,Assiut,27.184431498,31.195255182,Withdrawal
f2043a3b-a0e1-482e-bb50-c6855ede3ecc,Assiut,The campus of the dock of the Assiut train station - AlMahatta Sq. Assiut,Assiut,Assiut,27.180574366,31.187717273,Withdrawal
88e1430f-356e-4407-95b7-c531273a386c,Assiut,Assiut,Assiut,Assiut,27.1973112540001,31.1858110210001,Withdrawal
f123d7c6-61b4-4e1d-aa2d-f9079db3871c,Assiut,Faculty of Arts -Old University,Assiut,Assiut,27.197921518,31.184333097,Withdrawal
7bc1cf81-02bb-4c2c-95f6-81a55ad9c804,Assiut,Nile Cornich St. beside Assiut Security Directorate,Assiut,Assiut,27.1825416890001,31.196566745,Withdrawal
5231fa3e-2dfb-447b-b464-93d2b09738b5,Assiut,Magles Almadina St. - Assiut,Assiut,Assiut,27.191452359,31.189738441,Withdrawal
30ba178d-1dc7-4710-b99c-97c111cb464f,Assiut,Magles Almadina St. - Assiut,Assiut,Assiut,27.191375652,31.18974081,Withdrawal
ad95e43a-5ac7-4e14-8741-068e30a1550f,Assiut,Assiut train station,Assiut,Assiut,27.181022188,31.1874621580001,Withdrawal
ead2e65d-a0cb-46bf-b278-ca74e44277ec,Assiut,Alcornich-Assiut,Assiut,Assiut,27.194335069,31.186606711,Withdrawal
73f474f6-c182-463b-816c-bd57faf77129,Assiut,behind door of  Assiut Security Directorate,Assiut,Assiut,27.1838792390001,31.1959018420001,Withdrawal
dd628b5f-7493-4af0-8797-3e5831c44b72,Assiut,Emergency Police Department - Nile Cornich in front of the Peace Tunnel,Assiut,Assiut,27.1932678970001,31.1795801010001,Withdrawal
b35cca67-a5fa-4dea-9fdd-89c8003085b6,Assiut,At the door of the Assiut Security Directorate from Cornich side,Assiut,Assiut,27.1839328340001,31.1958608260001,Withdrawal
902d50b5-14c2-4c6e-9d02-1759bc706adc,Assiut,Mubarak City - Assiut Governorate,Assiut,Assiut,27.167778019,31.1778589200001,Withdrawal
d4ac1386-8252-40b8-8859-2b9b5d609176,Assiut,Assiut University,Assiut,Assiut,27.1855671550001,31.1639433550001,Withdrawal
4b9cd36f-eeb4-477b-b546-b95235124e9c,Assiut,University Hospitals Sector - Assiut University Hospital,Assiut,Assiut,27.1851536030001,31.166921619,Withdrawal
5b87076e-a78b-472d-be59-3fccacb7fe5f,Assiut,University Hospitals Sector - Assiut University Hospital,Assiut,Assiut,27.1843985570001,31.1672544050001,Withdrawal
9b10e1cf-0cf9-455c-bb8a-49daeafc8b28,Assiut,Helaly St. - Assiut,Assiut,Assiut,27.181528036,31.190807668,Withdrawal
968f3358-12c3-42c0-abfe-c4775bc62c36,Assiut,Sinai Mosque in front of the Assiut Sports Club and the reservoir fire unit Assiut,Assiut,Assiut,27.196337854,31.185157185,Withdrawal
3a91ec1e-27ca-4027-933e-676d0917d03b,Assiut,AlManfaz Sq. Awel AlNemis St. Assiut,Assiut,Assiut,27.183302789,31.1858358690001,Withdrawal
e2856400-d675-47d2-b6e8-7060deea8109,Assiut,Judges Club in Assiut - Assiut Governorate,Assiut,Assiut,27.1989009430001,31.185219676,Withdrawal
7bac2341-9014-476e-a8a2-7a6607ba22dc,Assiut,Assiut Cement Company,Assiut,Assiut,27.1800794690001,31.022662918,Withdrawal
0c29f5a2-0c38-4806-9c02-55c4735374a5,Southern Military District - Assiut - The Gate,Southern Military District at the main gate,Assiut,Assiut,27.190201,31.186202,"Cash Dispenser only
"
1b70015c-2da4-42f3-b578-f070dd675dd2,Southern Military District - Assiut - Swimming pool,Southern Military District with swimming pool,Assiut,Assiut,27.190857,31.186045,"Cash Dispenser only
"
08f4a977-6c7c-4ece-952e-cea9837408a1,Southern Military District Assiut ,"Brigade 305, Mechanized Infantry, next to the office of the commander of the brigade",Assiut,Assiut,27.189487,31.185845,"Cash Dispenser only
"
f52274ff-65f8-491f-8e9b-7579197089f0,Assiut Central Central,Mahmoud Fahmy Al-Naqrashi Street - Assiut,Assiut,Assiut,27.182268,31.18696,"withdrawal,deposit"
acd70b92-d01e-470f-a6d1-49458f9b7855,Assiut for Islamic transactions 3,Extension of Yousry Ragheb Street - Assiut City - Assiut Governorate,Assiut,Assiut,27.186976,31.179728,"Withdrawal, Deposit, Exchange
"
9438d964-0c16-4fb3-90ac-2fd4f455bdbe,Assiut Algadida,New Assiut city,Assiut,Assiut Algadida,27.271816314,31.290822452,Withdrawal -Deposit – Forex
f18c3ec2-9623-4f68-9d22-edd5c051aa0f,Dairout Branch 6,Dayrout Saad Zaghloul St,Assiut,Dairut,27.55740089,30.81600975,Withdrawal and Deposit
24bbbf69-6b16-4175-a60c-32a4398bf002,Dairut,Dayrut - Assiut Governorate,Assiut,Dairut,27.553744066,30.8080446390001,Withdrawal
cbb588fa-d1e0-439b-b32d-e0a124e1be0c,Dairut,Dayrout Saad Zaghloul St.,Assiut,Dairut,27.557407417,30.816075712,Withdrawal
2dc7db27-624e-4ea2-85f9-d0de3f8ee746,Tamwely Dairout,"Abi Al-Darda Street, Abu Al-Jabal Division, Dayrut Center",Assiut,Dairut,27.55135979,30.81289065,withdraw only 
e19bc63e-87b4-40f5-b3a0-e35332d24378,Tanmiah Fazara,The shop located next to the parking lot - the entrance to the country - Fazara - Maragha Center - Sohag Governorate,Assiut,Dairut,27.47393499,30.82512873,"Full Function
"
ad95d364-9696-4d44-9c5c-7c408fb09848,Dayrut Islamic Transactions Branch,Dr. Mahmoud Tosan St. - Dayrout - Assiut Governorate,Assiut,Dairut,27.54771,30.811633,Withdraw - Deposit - Change currency
d86f2733-f362-4c0a-b8cf-a14fc310beff,Dayrut branch for Islamic transactions,Dr. Mahmoud Tosson Street - Wabour Al Nour - Dayrout - Assiut Governorate,Assiut,Dairut,27.54758627,30.81167131,"8:300 - 3:00
"
0e77058d-32d0-4775-8a5a-8b7c2687ecab,El Fath,Police Club - AlFath Assiut behind the tank,Assiut,El Fath,27.205338237,31.193371342,Withdrawal
e693a372-5e6a-4a0d-9968-74c3e2ee0f8f,Manfalut,Manfalot Gamal Abd AlNasser St.,Assiut,Manfalut,27.3083441690001,30.9660576480001,Withdrawal
e78e7c81-1326-49bd-b436-7faaf381daf2,Manfalut,Assiut Petroleum Company,Assiut,Manfalut,27.203439754,30.996656613,Withdrawal -Deposit – Forex
a800f798-0fa6-496b-a7d7-c4430cfe8d5b,Tamwely Manfalout,"Manfalut, Al-Salam neighborhood, started by Ali Ibn Abi Talib, next to the fire brigade",Assiut,Manfalut,27.30827966,30.96938791,
5747ac86-7f45-43fe-b3c3-6c11c0b1c1d6,Tanmiah manfalout,"Assi district, in front of Salah's old studio",Assiut,Manfalut,27.30914,30.968783,"Withdrawal, Deposit, Exchange
"
4bc133ee-8443-4acb-8d5f-9a19db6955f8,Manfalut Branch for Islamic Transactions,Gamal Abdel Nasser Street - in front of Manfalut Center - Manfalut City - Assiut Governorate,Assiut,Manfalut,27.308347,30.966059,Withdraw - Deposit - Exchange Currency
716bd4ad-f1ae-4674-b7bd-b5195679e64b,Sahel Selim,AlGomhoria St. in front of The City Council - Entrance to New Sahel Salim Bridge,Assiut,Sahel Selim,27.0583756880001,31.340490405,Withdrawal
54431649-8b2e-4e11-bdac-3cbb4dee9102,Tamwely Sahel Selim,"Al-Nahda Street shop, off Al-Gomhouria Street, Sahel Saleem Center",Assiut,Sahel Selim,27.06000313,31.34195195,withdraw only
83b9843c-8bed-4255-8ff9-43356e6dc392,Orange Sahel Selim,"Banque Misr St., the entrance to the country, Sahel Selim - Assiut",Assiut,Sahel Selim,27.05904905,31.34111472,
9f103e91-1e8b-48bc-b5f6-3ad2b8c483cf,Sedfa,Assiut Sohag Road - Sadfa City - Assiut,Assiut,Sedfa,26.967321629,31.384120357,Withdrawal -Deposit – Forex
b7e9ed1a-383b-47ff-bcfb-dd905b5400fa,Sedfa,Sadfa Radwan Mosque beside National Bank of Assiut,Assiut,Sedfa,26.9636476810001,31.377283536,Withdrawal
0c13bc69-c3db-4f46-b1fc-3c67cb8cd7b4,Tamwely Sedfa,"Assiut-Sohag Agricultural Road, next to the Assiut Religious Institute",Assiut,Sedfa,26.96651067,31.38487023,withdraw only
abea7bc1-94fc-4cf3-870f-a406784ebd33,Abu Simbel,Banks Sq. 10th District Abo Simbel,Aswan,Abu Simbel,22.340429719,31.614506228,Withdrawal -Deposit – Forex
58d18ae3-4fc6-4bf0-9103-71c6537fe13a,Abu Simbel,Toshka area - Nasr Alnuba,Aswan,Abu Simbel,22.348506942,31.616423135,Withdrawal
a590bf96-8de7-4696-8098-f33388cd0773,Abu Simbel,Abo Simbel Aswan Temple,Aswan,Abu Simbel,22.3376638980001,31.6233346060001,Withdrawal -Deposit – Forex
eafee753-b625-4853-a243-a2ab28569be0,Abo Simbel Elementary School,Toshka area - Nasr Alnuba,Aswan,Abu Simbel,22.34850694,31.61642314,withdrawal
62569534-8699-443f-bd8a-43779ed5f52f,Abu Simbel Temple - Aswan,Abo Simbel Aswan Temple,Aswan,Abu Simbel,22.3376639,31.62333461,withdrawal
6cb9736c-aa79-4b50-8497-cf9baffeee25,Aswan,Aswan Plaza Mall - Nile Cornich - Aswan,Aswan,Aswan,24.0972237890001,32.898251628,Withdrawal
adf952da-e41b-4395-b76a-553d9194caac,Aswan,Mohamed Mashally St. Abtal tahrir Sinai Before,Aswan,Aswan,24.0943733440001,32.8979862040001,Withdrawal
dbed1ee7-c56b-4226-8e87-14fb16eecb07,Aswan,Tunnel Sq. - Aswan,Aswan,Aswan,24.0947872410001,32.9052055720001,Withdrawal
21e8b0d1-22d5-4819-930b-03397daccb13,Aswan,city Council Garden  Nile Cornich Aswan,Aswan,Aswan,24.092020097,32.895775375,Withdrawal
8d48a80b-47d0-4aa8-915a-ba51083e3912,Aswan,Nile Cornich St. Aswan,Aswan,Aswan,24.0931573730001,32.903778312,Withdrawal
5344246a-4e3d-40fd-af11-18c9e233d7f9,Aswan,10 Nile Cornich St.,Aswan,Aswan,24.092788489,32.8964710320001,Withdrawal -Deposit – Forex
90f964f9-4329-4e14-a8b6-c61dc7dfa91f,Aswan,Alshorouk District - Sadat Road - Aswan,Aswan,Aswan,24.0573047780001,32.882795921,Withdrawal -Deposit – Forex
6dc324b8-56e2-4856-bf7f-92cca98750b6,Aswan,Abtal Altahrir St. Aswan Military Sector,Aswan,Aswan,24.098823415,32.901762735,Withdrawal
55e5d47d-1946-43b4-a6ca-08a0c5c93110,Aswan,Aswan Train Station,Aswan,Aswan,24.099924156,32.902378207,Withdrawal
0fc00391-870c-4880-94fe-14aa718eff29,Aswan,Tourist Walk Saad Zaghloul St.,Aswan,Aswan,24.095813895,32.8999201570001,Withdrawal -Deposit – Forex
67049713-d51f-4cb1-9353-6015bab717a6,Aswan,Sadat Alqasim Aswan,Aswan,Aswan,24.0730780320001,32.8881855230001,Withdrawal
d5ec397f-3baa-4c9c-9ed9-af6259761b64,Aswan,Interests Complex 3 Former Planning Building Nile Corniche - Aswan,Aswan,Aswan,24.1071307080001,32.9005330160001,Withdrawal
82597e6b-d7b2-4b64-9525-d2b135de8123,Aswan,Aswan Security Directorate,Aswan,Aswan,24.087354437,32.8931765400001,Withdrawal
bbe76eb7-55a6-4f67-8718-5229dbf5c498,Aswan,Saharay City - In Front of The Upper Egypt Electricity Distribution Company,Aswan,Aswan,23.9708411300001,32.8775855910001,Withdrawal
af161af9-e63a-478f-9c95-11367d59db84,Aswan,Kasr Alhagar St. - Aswan,Aswan,Aswan,24.0863166010001,32.908023325,Withdrawal
482daefe-75b0-4cde-aac5-34d934353e45,Aswan,Nile Cornich St. - Aswan,Aswan,Aswan,24.099513347,32.90210935,Withdrawal
ef712f8c-e1bf-46a4-b458-099e61981f1e,Aswan,The tunnel area - In Front of The Aswan Endowments Directorate,Aswan,Aswan,24.0931288300001,32.9033985660001,Withdrawal
50174f2a-6329-4346-912c-3e04d0aafd40,Aswan,Nile Cornich St. - Aswan,Aswan,Aswan,24.09921611,32.899010993,Withdrawal
c5f35bfe-4d2b-4568-9e88-dc47ca177e39,Aswan,15 Nile Cornich St. - Aswan,Aswan,Aswan,24.0851218540001,32.8915133310001,Withdrawal -Deposit – Forex
7d6d2eec-53ef-4bcd-ad49-d44e66d53ec1,Aswan,Nile Cornich St. - Alkhazzan Road - Beside Alhakim Mall - Aswan,Aswan,Aswan,24.0812089080001,32.8920027770001,Withdrawal
533b1fa0-063e-4592-b3c7-a16d296c3dbc,Aswan,Sadat Road (Before) - Al Akkad District - Aswan,Aswan,Aswan,24.0628031030001,32.8843779950001,Withdrawal -Deposit – Forex
21392bb9-15ac-4241-a409-104e9054bdab,Aswan,Alsad Alaaly Gharb,Aswan,Aswan,24.084367077,32.8911054910001,Withdrawal
